"","symbol_hs","symbol_mm","symbol_hs_mm"
"100","LZIC","Lzic","LZIC_Lzic"
"101","NMNAT1","Nmnat1","NMNAT1_Nmnat1"
"102","RBP7","Rbp7","RBP7_Rbp7"
"103","UBE4B","Ube4b","UBE4B_Ube4b"
"104","KIF1B","Kif1b","KIF1B_Kif1b"
"105","PGD","Pgd","PGD_Pgd"
"106","CENPS","Cenps","CENPS_Cenps"
"107","CORT","Cort","CORT_Cort"
"108","DFFA","Dffa","DFFA_Dffa"
"109","PEX14","Pex14","PEX14_Pex14"
"110","C1orf127","Gm572","C1orf127_Gm572"
"111","TARDBP","Tardbp","TARDBP_Tardbp"
"112","SRM","Srm","SRM_Srm"
"113","EXOSC10","Exosc10","EXOSC10_Exosc10"
"114","MTOR","Mtor","MTOR_Mtor"
"115","ANGPTL7","Angptl7","ANGPTL7_Angptl7"
"116","UBIAD1","Ubiad1","UBIAD1_Ubiad1"
"117","FBXO2","Fbxo2","FBXO2_Fbxo2"
"118","FBXO44","Fbxo44","FBXO44_Fbxo44"
"119","FBXO6","Fbxo6","FBXO6_Fbxo6"
"120","MAD2L2","Mad2l2","MAD2L2_Mad2l2"
"121","DRAXIN","Draxin","DRAXIN_Draxin"
"122","AGTRAP","Agtrap","AGTRAP_Agtrap"
"123","MTHFR","Mthfr","MTHFR_Mthfr"
"124","CLCN6","Clcn6","CLCN6_Clcn6"
"125","KIAA2013","2510039O18Rik","KIAA2013_2510039O18Rik"
"126","PLOD1","Plod1","PLOD1_Plod1"
"127","MFN2","Mfn2","MFN2_Mfn2"
"128","MIIP","Miip","MIIP_Miip"
"129","TNFRSF8","Tnfrsf8","TNFRSF8_Tnfrsf8"
"130","TNFRSF1B","Tnfrsf1b","TNFRSF1B_Tnfrsf1b"
"131","VPS13D","Vps13d","VPS13D_Vps13d"
"132","DHRS3","Dhrs3","DHRS3_Dhrs3"
"133","PDPN","Pdpn","PDPN_Pdpn"
"134","PRDM2","Prdm2","PRDM2_Prdm2"
"135","KAZN","Kazn","KAZN_Kazn"
"136","TMEM51","Tmem51","TMEM51_Tmem51"
"137","FHAD1","Fhad1","FHAD1_Fhad1"
"138","EFHD2","Efhd2","EFHD2_Efhd2"
"139","CASP9","Casp9","CASP9_Casp9"
"140","DNAJC16","Dnajc16","DNAJC16_Dnajc16"
"141","AGMAT","Agmat","AGMAT_Agmat"
"142","PLEKHM2","Plekhm2","PLEKHM2_Plekhm2"
"143","SLC25A34","Slc25a34","SLC25A34_Slc25a34"
"144","FBLIM1","Fblim1","FBLIM1_Fblim1"
"145","SPEN","Spen","SPEN_Spen"
"146","ZBTB17","Zbtb17","ZBTB17_Zbtb17"
"147","HSPB7","Hspb7","HSPB7_Hspb7"
"148","EPHA2","Epha2","EPHA2_Epha2"
"149","ARHGEF19","Arhgef19","ARHGEF19_Arhgef19"
"150","CPLANE2","Cplane2","CPLANE2_Cplane2"
"151","FBXO42","Fbxo42","FBXO42_Fbxo42"
"152","SZRD1","Szrd1","SZRD1_Szrd1"
"153","NECAP2","Necap2","NECAP2_Necap2"
"154","CROCC","Crocc","CROCC_Crocc"
"155","MFAP2","Mfap2","MFAP2_Mfap2"
"156","ATP13A2","Atp13a2","ATP13A2_Atp13a2"
"157","SDHB","Sdhb","SDHB_Sdhb"
"158","PADI2","Padi2","PADI2_Padi2"
"159","PADI4","Padi4","PADI4_Padi4"
"160","RCC2","Rcc2","RCC2_Rcc2"
"161","ARHGEF10L","Arhgef10l","ARHGEF10L_Arhgef10l"
"162","IGSF21","Igsf21","IGSF21_Igsf21"
"163","KLHDC7A","Klhdc7a","KLHDC7A_Klhdc7a"
"164","ALDH4A1","Aldh4a1","ALDH4A1_Aldh4a1"
"165","IFFO2","Iffo2","IFFO2_Iffo2"
"166","UBR4","Ubr4","UBR4_Ubr4"
"167","EMC1","Emc1","EMC1_Emc1"
"168","MRTO4","Mrto4","MRTO4_Mrto4"
"169","SLC66A1","Slc66a1","SLC66A1_Slc66a1"
"170","CAPZB","Capzb","CAPZB_Capzb"
"171","MICOS10","Micos10","MICOS10_Micos10"
"172","NBL1","Nbl1","NBL1_Nbl1"
"173","TMCO4","Tmco4","TMCO4_Tmco4"
"174","OTUD3","Otud3","OTUD3_Otud3"
"175","PLA2G2A","Pla2g2a","PLA2G2A_Pla2g2a"
"176","PLA2G5","Pla2g5","PLA2G5_Pla2g5"
"177","PLA2G2D","Pla2g2d","PLA2G2D_Pla2g2d"
"178","UBXN10","Ubxn10","UBXN10_Ubxn10"
"179","CAMK2N1","Camk2n1","CAMK2N1_Camk2n1"
"180","MUL1","Mul1","MUL1_Mul1"
"181","FAM43B","Fam43b","FAM43B_Fam43b"
"182","CDA","Cda","CDA_Cda"
"183","PINK1","Pink1","PINK1_Pink1"
"184","DDOST","Ddost","DDOST_Ddost"
"185","KIF17","Kif17","KIF17_Kif17"
"186","HP1BP3","Hp1bp3","HP1BP3_Hp1bp3"
"187","EIF4G3","Eif4g3","EIF4G3_Eif4g3"
"188","ECE1","Ece1","ECE1_Ece1"
"189","ALPL","Alpl","ALPL_Alpl"
"190","RAP1GAP","Rap1gap","RAP1GAP_Rap1gap"
"191","USP48","Usp48","USP48_Usp48"
"192","LDLRAD2","Ldlrad2","LDLRAD2_Ldlrad2"
"193","HSPG2","Hspg2","HSPG2_Hspg2"
"194","CDC42","Cdc42","CDC42_Cdc42"
"195","WNT4","Wnt4","WNT4_Wnt4"
"196","ZBTB40","Zbtb40","ZBTB40_Zbtb40"
"197","C1QA","C1qa","C1QA_C1qa"
"198","C1QC","C1qc","C1QC_C1qc"
"199","C1QB","C1qb","C1QB_C1qb"
"200","EPHB2","Ephb2","EPHB2_Ephb2"
"201","KDM1A","Kdm1a","KDM1A_Kdm1a"
"202","LUZP1","Luzp1","LUZP1_Luzp1"
"203","HNRNPR","Hnrnpr","HNRNPR_Hnrnpr"
"204","ZNF436","Zfp46","ZNF436_Zfp46"
"205","TCEA3","Tcea3","TCEA3_Tcea3"
"206","ASAP3","Asap3","ASAP3_Asap3"
"207","E2F2","E2f2","E2F2_E2f2"
"208","ID3","Id3","ID3_Id3"
"209","ELOA","Eloa","ELOA_Eloa"
"210","PITHD1","Pithd1","PITHD1_Pithd1"
"211","LYPLA2","Lypla2","LYPLA2_Lypla2"
"212","GALE","Gale","GALE_Gale"
"213","HMGCL","Hmgcl","HMGCL_Hmgcl"
"214","FUCA1","Fuca1","FUCA1_Fuca1"
"215","CNR2","Cnr2","CNR2_Cnr2"
"216","PNRC2","Pnrc2","PNRC2_Pnrc2"
"217","SRSF10","Srsf10","SRSF10_Srsf10"
"218","IL22RA1","Il22ra1","IL22RA1_Il22ra1"
"219","IFNLR1","Ifnlr1","IFNLR1_Ifnlr1"
"220","GRHL3","Grhl3","GRHL3_Grhl3"
"221","STPG1","Stpg1","STPG1_Stpg1"
"222","NIPAL3","Nipal3","NIPAL3_Nipal3"
"223","RCAN3","Rcan3","RCAN3_Rcan3"
"224","NCMAP","Ncmap","NCMAP_Ncmap"
"225","SRRM1","Srrm1","SRRM1_Srrm1"
"226","CLIC4","Clic4","CLIC4_Clic4"
"227","RUNX3","Runx3","RUNX3_Runx3"
"228","SYF2","Syf2","SYF2_Syf2"
"229","RSRP1","Rsrp1","RSRP1_Rsrp1"
"230","TMEM50A","Tmem50a","TMEM50A_Tmem50a"
"231","RHCE","Rhd","RHCE_Rhd"
"232","MACO1","Maco1","MACO1_Maco1"
"233","LDLRAP1","Ldlrap1","LDLRAP1_Ldlrap1"
"234","MAN1C1","Man1c1","MAN1C1_Man1c1"
"235","SELENON","Selenon","SELENON_Selenon"
"236","MTFR1L","Mtfr1l","MTFR1L_Mtfr1l"
"237","PAQR7","Paqr7","PAQR7_Paqr7"
"238","STMN1","Stmn1","STMN1_Stmn1"
"239","PAFAH2","Pafah2","PAFAH2_Pafah2"
"240","EXTL1","Extl1","EXTL1_Extl1"
"241","TRIM63","Trim63","TRIM63_Trim63"
"242","PDIK1L","Pdik1l","PDIK1L_Pdik1l"
"243","FAM110D","Fam110d","FAM110D_Fam110d"
"244","ZNF593","Zfp593","ZNF593_Zfp593"
"245","CNKSR1","Cnksr1","CNKSR1_Cnksr1"
"246","CEP85","Cep85","CEP85_Cep85"
"247","SH3BGRL3","Sh3bgrl3","SH3BGRL3_Sh3bgrl3"
"248","UBXN11","Ubxn11","UBXN11_Ubxn11"
"249","CD52","Cd52","CD52_Cd52"
"250","CRYBG2","Crybg2","CRYBG2_Crybg2"
"251","DHDDS","Dhdds","DHDDS_Dhdds"
"252","HMGN2","Hmgn2-ps","HMGN2_Hmgn2-ps"
"253","ARID1A","Arid1a","ARID1A_Arid1a"
"254","PIGV","Pigv","PIGV_Pigv"
"255","ZDHHC18","Zdhhc18","ZDHHC18_Zdhhc18"
"256","SFN","Sfn","SFN_Sfn"
"257","GPN2","Gpn2","GPN2_Gpn2"
"258","GPATCH3","Gpatch3","GPATCH3_Gpatch3"
"259","NUDC","Nudc","NUDC_Nudc"
"260","NR0B2","Nr0b2","NR0B2_Nr0b2"
"261","KDF1","Kdf1","KDF1_Kdf1"
"262","TRNP1","Trnp1","TRNP1_Trnp1"
"263","TENT5B","Tent5b","TENT5B_Tent5b"
"264","SLC9A1","Slc9a1","SLC9A1_Slc9a1"
"265","WDTC1","Wdtc1","WDTC1_Wdtc1"
"266","TMEM222","Tmem222","TMEM222_Tmem222"
"267","SYTL1","Sytl1","SYTL1_Sytl1"
"268","MAP3K6","Map3k6","MAP3K6_Map3k6"
"269","CD164L2","Cd164l2","CD164L2_Cd164l2"
"270","GPR3","Gpr3","GPR3_Gpr3"
"271","WASF2","Wasf2","WASF2_Wasf2"
"272","AHDC1","Ahdc1","AHDC1_Ahdc1"
"273","FGR","Fgr","FGR_Fgr"
"274","FAM76A","Fam76a","FAM76A_Fam76a"
"275","STX12","Stx12","STX12_Stx12"
"276","PPP1R8","Ppp1r8","PPP1R8_Ppp1r8"
"277","THEMIS2","Themis2","THEMIS2_Themis2"
"278","RPA2","Rpa2","RPA2_Rpa2"
"279","SMPDL3B","Smpdl3b","SMPDL3B_Smpdl3b"
"280","XKR8","Xkr8","XKR8_Xkr8"
"281","EYA3","Eya3","EYA3_Eya3"
"282","PTAFR","Ptafr","PTAFR_Ptafr"
"283","DNAJC8","Dnajc8","DNAJC8_Dnajc8"
"284","ATP5IF1","Atpif1","ATP5IF1_Atpif1"
"285","SESN2","Sesn2","SESN2_Sesn2"
"286","MED18","Med18","MED18_Med18"
"287","PHACTR4","Phactr4","PHACTR4_Phactr4"
"288","RCC1","Rcc1","RCC1_Rcc1"
"289","TRNAU1AP","Trnau1ap","TRNAU1AP_Trnau1ap"
"290","TAF12","Taf12","TAF12_Taf12"
"291","RAB42","Rab42","RAB42_Rab42"
"292","GMEB1","Gmeb1","GMEB1_Gmeb1"
"293","YTHDF2","Ythdf2","YTHDF2_Ythdf2"
"294","EPB41","Epb41","EPB41_Epb41"
"295","TMEM200B","Tmem200b","TMEM200B_Tmem200b"
"296","SRSF4","Srsf4","SRSF4_Srsf4"
"297","MECR","Mecr","MECR_Mecr"
"298","PTPRU","Ptpru","PTPRU_Ptpru"
"299","LAPTM5","Laptm5","LAPTM5_Laptm5"
"300","SDC3","Sdc3","SDC3_Sdc3"
"301","PUM1","Pum1","PUM1_Pum1"
"302","SNRNP40","Snrnp40","SNRNP40_Snrnp40"
"303","ZCCHC17","Zcchc17","ZCCHC17_Zcchc17"
"304","FABP3","Fabp3","FABP3_Fabp3"
"305","SERINC2","Serinc2","SERINC2_Serinc2"
"306","TINAGL1","Tinagl1","TINAGL1_Tinagl1"
"307","PEF1","Pef1","PEF1_Pef1"
"308","COL16A1","Col16a1","COL16A1_Col16a1"
"309","ADGRB2","Adgrb2","ADGRB2_Adgrb2"
"310","SPOCD1","Spocd1","SPOCD1_Spocd1"
"311","PTP4A2","Ptp4a2","PTP4A2_Ptp4a2"
"312","KHDRBS1","Khdrbs1","KHDRBS1_Khdrbs1"
"313","TMEM39B","Tmem39b","TMEM39B_Tmem39b"
"314","KPNA6","Kpna6","KPNA6_Kpna6"
"315","TXLNA","Txlna","TXLNA_Txlna"
"316","CCDC28B","Ccdc28b","CCDC28B_Ccdc28b"
"317","IQCC","Iqcc","IQCC_Iqcc"
"318","DCDC2B","Dcdc2b","DCDC2B_Dcdc2b"
"319","TMEM234","Tmem234","TMEM234_Tmem234"
"320","EIF3I","Eif3i","EIF3I_Eif3i"
"321","FAM167B","Fam167b","FAM167B_Fam167b"
"322","LCK","Lck","LCK_Lck"
"323","HDAC1","Hdac1","HDAC1_Hdac1"
"324","MARCKSL1","Marcksl1","MARCKSL1_Marcksl1"
"325","FAM229A","Fam229a","FAM229A_Fam229a"
"326","BSDC1","Bsdc1","BSDC1_Bsdc1"
"327","ZBTB8A","Zbtb8a","ZBTB8A_Zbtb8a"
"328","ZBTB8OS","Zbtb8os","ZBTB8OS_Zbtb8os"
"329","RBBP4","Rbbp4","RBBP4_Rbbp4"
"330","SYNC","Sync","SYNC_Sync"
"331","KIAA1522","C77080","KIAA1522_C77080"
"332","YARS","Yars","YARS_Yars"
"333","S100PBP","S100pbp","S100PBP_S100pbp"
"334","FNDC5","Fndc5","FNDC5_Fndc5"
"335","TMEM54","Tmem54","TMEM54_Tmem54"
"336","RNF19B","Rnf19b","RNF19B_Rnf19b"
"337","AK2","Ak2","AK2_Ak2"
"338","AZIN2","Azin2","AZIN2_Azin2"
"339","TRIM62","Trim62","TRIM62_Trim62"
"340","ZNF362","Zfp362","ZNF362_Zfp362"
"341","PHC2","Phc2","PHC2_Phc2"
"342","ZSCAN20","Zscan20","ZSCAN20_Zscan20"
"343","CSMD2","Csmd2","CSMD2_Csmd2"
"344","SMIM12","Smim12","SMIM12_Smim12"
"345","GJB5","Gjb5","GJB5_Gjb5"
"346","GJB4","Gjb4","GJB4_Gjb4"
"347","GJB3","Gjb3","GJB3_Gjb3"
"348","GJA4","Gja4","GJA4_Gja4"
"349","DLGAP3","Dlgap3","DLGAP3_Dlgap3"
"350","TMEM35B","Tmem35b","TMEM35B_Tmem35b"
"351","ZMYM6","Zmym6","ZMYM6_Zmym6"
"352","ZMYM1","Zmym1","ZMYM1_Zmym1"
"353","SFPQ","Sfpq","SFPQ_Sfpq"
"354","ZMYM4","Zmym4","ZMYM4_Zmym4"
"355","KIAA0319L","AU040320","KIAA0319L_AU040320"
"356","NCDN","Ncdn","NCDN_Ncdn"
"357","TFAP2E","Tfap2e","TFAP2E_Tfap2e"
"358","PSMB2","Psmb2","PSMB2_Psmb2"
"359","C1orf216","5730409E04Rik","C1orf216_5730409E04Rik"
"360","CLSPN","Clspn","CLSPN_Clspn"
"361","AGO4","Ago4","AGO4_Ago4"
"362","AGO1","Ago1","AGO1_Ago1"
"363","AGO3","Ago3","AGO3_Ago3"
"364","TEKT2","Tekt2","TEKT2_Tekt2"
"365","COL8A2","Col8a2","COL8A2_Col8a2"
"366","TRAPPC3","Trappc3","TRAPPC3_Trappc3"
"367","MAP7D1","Map7d1","MAP7D1_Map7d1"
"368","THRAP3","Thrap3","THRAP3_Thrap3"
"369","SH3D21","Sh3d21","SH3D21_Sh3d21"
"370","EVA1B","Eva1b","EVA1B_Eva1b"
"371","STK40","Stk40","STK40_Stk40"
"372","LSM10","Lsm10","LSM10_Lsm10"
"373","OSCP1","Oscp1","OSCP1_Oscp1"
"374","MRPS15","Mrps15","MRPS15_Mrps15"
"375","CSF3R","Csf3r","CSF3R_Csf3r"
"376","ZC3H12A","Zc3h12a","ZC3H12A_Zc3h12a"
"377","MEAF6","Meaf6","MEAF6_Meaf6"
"378","SNIP1","Snip1","SNIP1_Snip1"
"379","DNALI1","Dnali1","DNALI1_Dnali1"
"380","GNL2","Gnl2","GNL2_Gnl2"
"381","RSPO1","Rspo1","RSPO1_Rspo1"
"382","C1orf109","9930104L06Rik","C1orf109_9930104L06Rik"
"383","CDCA8","Cdca8","CDCA8_Cdca8"
"384","EPHA10","Epha10","EPHA10_Epha10"
"385","MANEAL","Maneal","MANEAL_Maneal"
"386","YRDC","Yrdc","YRDC_Yrdc"
"387","C1orf122","1110065P20Rik","C1orf122_1110065P20Rik"
"388","MTF1","Mtf1","MTF1_Mtf1"
"389","INPP5B","Inpp5b","INPP5B_Inpp5b"
"390","SF3A3","Sf3a3","SF3A3_Sf3a3"
"391","FHL3","Fhl3","FHL3_Fhl3"
"392","UTP11","Utp11","UTP11_Utp11"
"393","RRAGC","Rragc","RRAGC_Rragc"
"394","MYCBP","Mycbp","MYCBP_Mycbp"
"395","RHBDL2","Rhbdl2","RHBDL2_Rhbdl2"
"396","AKIRIN1","Akirin1","AKIRIN1_Akirin1"
"397","NDUFS5","Ndufs5","NDUFS5_Ndufs5"
"398","MACF1","Macf1","MACF1_Macf1"
"399","PABPC4","Pabpc4","PABPC4_Pabpc4"
"400","HEYL","Heyl","HEYL_Heyl"
"401","HPCAL4","Hpcal4","HPCAL4_Hpcal4"
"402","PPIE","Ppie","PPIE_Ppie"
"403","TRIT1","Trit1","TRIT1_Trit1"
"404","MYCL","Mycl","MYCL_Mycl"
"405","MFSD2A","Mfsd2a","MFSD2A_Mfsd2a"
"406","CAP1","Cap1","CAP1_Cap1"
"407","PPT1","Ppt1","PPT1_Ppt1"
"408","RLF","Rlf","RLF_Rlf"
"409","ZMPSTE24","Zmpste24","ZMPSTE24_Zmpste24"
"410","COL9A2","Col9a2","COL9A2_Col9a2"
"411","SMAP2","Smap2","SMAP2_Smap2"
"412","ZFP69","Zfp69","ZFP69_Zfp69"
"413","EXO5","Exo5","EXO5_Exo5"
"414","RIMS3","Rims3","RIMS3_Rims3"
"415","NFYC","Nfyc","NFYC_Nfyc"
"416","KCNQ4","Kcnq4","KCNQ4_Kcnq4"
"417","CITED4","Cited4","CITED4_Cited4"
"418","CTPS1","Ctps","CTPS1_Ctps"
"419","SLFNL1","Slfnl1","SLFNL1_Slfnl1"
"420","SCMH1","Scmh1","SCMH1_Scmh1"
"421","FOXO6","Foxo6","FOXO6_Foxo6"
"422","EDN2","Edn2","EDN2_Edn2"
"423","HIVEP3","Hivep3","HIVEP3_Hivep3"
"424","FOXJ3","Foxj3","FOXJ3_Foxj3"
"425","RIMKLA","Rimkla","RIMKLA_Rimkla"
"426","ZMYND12","Zmynd12","ZMYND12_Zmynd12"
"427","PPCS","Ppcs","PPCS_Ppcs"
"428","CCDC30","Ccdc30","CCDC30_Ccdc30"
"429","PPIH","Gm7879","PPIH_Gm7879"
"430","YBX1","Ybx1","YBX1_Ybx1"
"431","P3H1","P3h1","P3H1_P3h1"
"432","C1orf50","AU022252","C1orf50_AU022252"
"433","SVBP","Svbp","SVBP_Svbp"
"434","ERMAP","Ermap","ERMAP_Ermap"
"435","ZNF691","Zfp691","ZNF691_Zfp691"
"436","SLC2A1","Slc2a1","SLC2A1_Slc2a1"
"437","FAM183A","Fam183b","FAM183A_Fam183b"
"438","EBNA1BP2","Ebna1bp2","EBNA1BP2_Ebna1bp2"
"439","CFAP57","Cfap57","CFAP57_Cfap57"
"440","TMEM125","Tmem125","TMEM125_Tmem125"
"441","C1orf210","2610528J11Rik","C1orf210_2610528J11Rik"
"442","TIE1","Tie1","TIE1_Tie1"
"443","CDC20","Cdc20","CDC20_Cdc20"
"444","ELOVL1","Elovl1","ELOVL1_Elovl1"
"445","MED8","Med8","MED8_Med8"
"446","SZT2","Szt2","SZT2_Szt2"
"447","PTPRF","Ptprf","PTPRF_Ptprf"
"448","KDM4A","Kdm4a","KDM4A_Kdm4a"
"449","ST3GAL3","St3gal3","ST3GAL3_St3gal3"
"450","ARTN","Artn","ARTN_Artn"
"451","IPO13","Ipo13","IPO13_Ipo13"
"452","DPH2","Dph2","DPH2_Dph2"
"453","ATP6V0B","Atp6v0b","ATP6V0B_Atp6v0b"
"454","B4GALT2","B4galt2","B4GALT2_B4galt2"
"455","CCDC24","Ccdc24","CCDC24_Ccdc24"
"456","SLC6A9","Slc6a9","SLC6A9_Slc6a9"
"457","DMAP1","Dmap1","DMAP1_Dmap1"
"458","ERI3","Eri3","ERI3_Eri3"
"459","RNF220","Rnf220","RNF220_Rnf220"
"460","TMEM53","Tmem53","TMEM53_Tmem53"
"461","ARMH1","Armh1","ARMH1_Armh1"
"462","KIF2C","Kif2c","KIF2C_Kif2c"
"463","PLK3","Plk3","PLK3_Plk3"
"464","BTBD19","Btbd19","BTBD19_Btbd19"
"465","PTCH2","Ptch2","PTCH2_Ptch2"
"466","EIF2B3","Eif2b3","EIF2B3_Eif2b3"
"467","HECTD3","Hectd3","HECTD3_Hectd3"
"468","UROD","Urod","UROD_Urod"
"469","ZSWIM5","Zswim5","ZSWIM5_Zswim5"
"470","MUTYH","Mutyh","MUTYH_Mutyh"
"471","TOE1","Toe1","TOE1_Toe1"
"472","TESK2","Tesk2","TESK2_Tesk2"
"473","MMACHC","Mmachc","MMACHC_Mmachc"
"474","PRDX1","Prdx1","PRDX1_Prdx1"
"475","AKR1A1","Akr1a1","AKR1A1_Akr1a1"
"476","NASP","Nasp","NASP_Nasp"
"477","CCDC17","Ccdc17","CCDC17_Ccdc17"
"478","GPBP1L1","Gpbp1l1","GPBP1L1_Gpbp1l1"
"479","TMEM69","Tmem69","TMEM69_Tmem69"
"480","IPP","Ipp","IPP_Ipp"
"481","MAST2","Mast2","MAST2_Mast2"
"482","PIK3R3","Pik3r3","PIK3R3_Pik3r3"
"483","TSPAN1","Tspan1","TSPAN1_Tspan1"
"484","POMGNT1","Pomgnt1","POMGNT1_Pomgnt1"
"485","LURAP1","Lurap1","LURAP1_Lurap1"
"486","RAD54L","Rad54l","RAD54L_Rad54l"
"487","LRRC41","Lrrc41","LRRC41_Lrrc41"
"488","FAAH","Faah","FAAH_Faah"
"489","MKNK1","Mknk1","MKNK1_Mknk1"
"490","MOB3C","Mob3c","MOB3C_Mob3c"
"491","ATPAF1","Atpaf1","ATPAF1_Atpaf1"
"492","EFCAB14","Efcab14","EFCAB14_Efcab14"
"493","CYP4B1","Cyp4b1","CYP4B1_Cyp4b1"
"494","CYP4X1","Cyp4x1","CYP4X1_Cyp4x1"
