"symbol_mm","symbol_hs"
"Spag16","SPAG16"
"Bard1","BARD1"
"Atic","ATIC"
"Fn1","FN1"
"Mreg","MREG"
"Pecr","PECR"
"Xrcc5","XRCC5"
"Smarcal1","SMARCAL1"
"Igfbp2","IGFBP2"
"Igfbp5","IGFBP5"
"Tns1","TNS1"
"Rufy4","RUFY4"
"Cxcr2","CXCR2"
"Cxcr1","CXCR1"
"Arpc2","ARPC2"
"Aamp","AAMP"
"Pnkd","PNKD"
"Tmbim1","TMBIM1"
"Catip","CATIP"
"Slc11a1","SLC11A1"
"Ctdsp1","CTDSP1"
"Vil1","VIL1"
"Usp37","USP37"
"Cnot9","CNOT9"
"Plcd4","PLCD4"
"Zfp142","ZNF142"
"Bcs1l","BCS1L"
"Rnf25","RNF25"
"Stk36","STK36"
"Ttll4","TTLL4"
"Cyp27a1","CYP27A1"
"Prkag3","PRKAG3"
"Wnt6","WNT6"
"Wnt10a","WNT10A"
"Cfap65","CFAP65"
"Ihh","IHH"
"Nhej1","NHEJ1"
"Slc23a3","SLC23A3"
"Cnppd1","CNPPD1"
"Retreg2","RETREG2"
"Zfand2b","ZFAND2B"
"Abcb6","ABCB6"
"Atg9a","ATG9A"
"Ankzf1","ANKZF1"
"Glb1l","GLB1L"
"Stk16","STK16"
"Tuba4a","TUBA4A"
"Dnajb2","DNAJB2"
"Ptprn","PTPRN"
"Resp18","RESP18"
"Dnpep","DNPEP"
"Des","DES"
"Speg","SPEG"
"Gmppa","GMPPA"
"Chpf","CHPF"
"Obsl1","OBSL1"
"Tmem198","TMEM198"
"Inha","INHA"
"Stk11ip","STK11IP"
"Slc4a3","SLC4A3"
"Epha4","EPHA4"
"Sgpp2","SGPP2"
"Farsb","FARSB"
"Mogat1","MOGAT1"
"Acsl3","ACSL3"
"Kcne4","KCNE4"
"Scg2","SCG2"
"Ap1s3","AP1S3"
"Wdfy1","WDFY1"
"Mrpl44","MRPL44"
"Serpine2","SERPINE2"
"Fam124b","FAM124B"
"Cul3","CUL3"
"Dock10","DOCK10"
"Irs1","IRS1"
"Rhbdd1","RHBDD1"
"Col4a4","COL4A4"
"Col4a3","COL4A3"
"Mff","MFF"
"Agfg1","AGFG1"
"Slc19a3","SLC19A3"
"Ccl20","CCL20"
"Daw1","DAW1"
"Sphkap","SPHKAP"
"Pid1","PID1"
"Dner","DNER"
"Trip12","TRIP12"
"Fbxo36","FBXO36"
"Sp110","SP110"
"Sp100","SP140"
"Cab39","CAB39"
"Itm2c","ITM2C"
"Gpr55","GPR55"
"2810459M11Rik","C2orf72"
"Psmd1","PSMD1"
"Htr2b","HTR2B"
"Armc9","ARMC9"
"B3gnt7","B3GNT7"
"Ncl","NCL"
"Pde6d","PDE6D"
"Cops7b","COPS7B"
"Nppc","NPPC"
"Dis3l2","DIS3L2"
"Eif4e2","EIF4E2"
"Efhd1","EFHD1"
"Gigyf2","GIGYF2"
"Kcnj13","KCNJ13"
"Ngef","NGEF"
"Neu2","NEU2"
"Inpp5d","INPP5D"
"Atg16l1","ATG16L1"
"Sag","SAG"
"Dgkd","DGKD"
"Usp40","USP40"
"Ugt1a7c","UGT1A6"
"Mroh2a","MROH2A"
"Hjurp","HJURP"
"Arl4c","ARL4C"
"Sh3bp4","SH3BP4"
"Agap1","AGAP1"
"Gbx2","GBX2"
"Iqca","IQCA1"
"Ackr3","ACKR3"
"Cops8","COPS8"
"Col6a3","COL6A3"
"Mlph","MLPH"
"Rab17","RAB17"
"Lrrfip1","LRRFIP1"
"Rbm44","RBM44"
"Ramp1","RAMP1"
"Ube2f","UBE2F"
"Scly","SCLY"
"Espnl","ESPNL"
"Klhl30","KLHL30"
"Erfe","ERFE"
"Ilkap","ILKAP"
"Hes6","HES6"
"Per2","PER2"
"Traf3ip1","TRAF3IP1"
"Asb1","ASB1"
"Twist2","TWIST2"
"Hdac4","HDAC4"
"Ndufa10","NDUFA10"
"Gpc1","GPC1"
"Ankmy1","ANKMY1"
"Dusp28","DUSP28"
"Rnpepl1","RNPEPL1"
"Capn10","CAPN10"
"Gpr35","GPR35"
"Kif1a","KIF1A"
"Mab21l4","MAB21L4"
"Crocc2","CROCC2"
"Sned1","SNED1"
"Mterf4","MTERF4"
"Pask","PASK"
"Ano7","ANO7"
"Hdlbp","HDLBP"
"Farp2","FARP2"
"Stk25","STK25"
"Bok","BOK"
"Thap4","THAP4"
"Atg4b","ATG4B"
"Dtymk","DTYMK"
"Ing5","ING5"
"D2hgdh","D2HGDH"
"Pdcd1","PDCD1"
"Fam174a","FAM174A"
"St8sia4","ST8SIA4"
"Slco4c1","SLCO4C1"
"Ppip5k2","PPIP5K2"
"Gin1","GIN1"
"Pam","PAM"
"Rnf152","RNF152"
"Pign","PIGN"
"Relch","RELCH"
"Tnfrsf11a","TNFRSF11A"
"Zcchc2","ZCCHC2"
"Phlpp1","PHLPP1"
"Bcl2","BCL2"
"Kdsr","KDSR"
"Vps4b","VPS4B"
"Serpinb5","SERPINB5"
"Serpinb12","SERPINB12"
"Serpinb2","SERPINB2"
"Serpinb8","SERPINB8"
"Cdh19","CDH19"
"Dsel","DSEL"
"Tsn","TSN"
"Nifk","NIFK"
